ModSelect,A_concern_y,B_concern_y,A_concern_o,B_concern_o,lA_ex,lB_ex,l_conc,l_conc_o,l_inf,l_inf_o,l_hea,l_hea_o,stvT,I,H,Prior,cut_mod
182,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,1,2,0.5
183,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,1,3,0.5
184,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,1,4,0.5
185,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,1,5,0.5
186,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,1,6,0.5
187,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,0,1,0.5
188,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,0,2,0.5
189,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,0,3,0.5
190,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,0,4,0.5
191,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,0,5,0.5
192,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,4,0,0,6,0.5
193,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,1,1,0.5
194,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,1,2,0.5
195,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,1,3,0.5
196,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,1,4,0.5
197,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,1,5,0.5
198,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,1,6,0.5
199,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,0,1,0.5
200,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,0,2,0.5
201,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,0,3,0.5
202,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,0,4,0.5
203,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,0,5,0.5
204,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,1.5,0,0,6,0.5
205,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,1,1,0.5
206,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,1,2,0.5
207,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,1,3,0.5
208,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,1,4,0.5
209,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,1,5,0.5
210,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,1,6,0.5
211,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,0,1,0.5
212,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,0,2,0.5
213,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,0,3,0.5
214,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,0,4,0.5
215,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,0,5,0.5
216,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,2,0,0,6,0.5
217,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0.5,1,0.5
218,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0.5,2,0.5
219,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0.5,3,0.5
220,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0.5,4,0.5
221,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0.5,5,0.5
222,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0.5,6,0.5
223,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0.5,1,0.5
224,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0.5,2,0.5
225,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0.5,3,0.5
226,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0.5,4,0.5
227,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0.5,5,0.5
228,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0.5,6,0.5
229,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0.5,1,0.5
230,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0.5,2,0.5
231,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0.5,3,0.5
232,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0.5,4,0.5
233,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0.5,5,0.5
234,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0.5,6,0.5
235,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0.5,1,0.5
236,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0.5,2,0.5
237,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0.5,3,0.5
238,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0.5,4,0.5
239,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0.5,5,0.5
240,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0.5,6,0.5
241,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0.5,1,0.5
242,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0.5,2,0.5
